tool,cell_id,cell_label,cell_count,gene_id,gene_label,gene_expr,dataset
azimuth,http://purl.obolibrary.org/obo/CL_4033048,Suprabasal,756,HGNC:534,ANXA10,3.461290121078491,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855481_Lung_2_4$alveolar%20sac
azimuth,http://purl.obolibrary.org/obo/CL_4033048,Suprabasal,683,HGNC:534,ANXA10,3.416055679321289,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855478_Lung_2_1$alveolar%20sac
azimuth,http://purl.obolibrary.org/obo/CL_4033048,Suprabasal,718,HGNC:534,ANXA10,3.411623477935791,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855479_Lung_2_2$alveolar%20sac
azimuth,http://purl.obolibrary.org/obo/CL_4033048,Suprabasal,731,HGNC:534,ANXA10,3.5226149559021,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Salahudeen_Nat_2020_GSM2855480_Lung_2_3$alveolar%20sac
azimuth,http://purl.obolibrary.org/obo/CL_0000158,Club (nasal),53,HGNC:534,ANXA10,5.898013114929199,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#He_Cell_2022_NEUROG3_overexpression$lung
azimuth,http://purl.obolibrary.org/obo/CL_4033022,SMG mucous,24,HGNC:534,ANXA10,6.453353881835938,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#He_Cell_2022_TFAP2A_overexpression$lung
azimuth,http://purl.obolibrary.org/obo/CL_0002063,AT2,14,HGNC:534,ANXA10,6.742026805877686,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#He_Cell_2022_ASCL1_overexpression$lung
azimuth,http://purl.obolibrary.org/obo/CL_0000158,Club (nasal),88,HGNC:534,ANXA10,6.231368064880371,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#He_Cell_2022_NEUROD1_overexpression$lung
azimuth,http://purl.obolibrary.org/obo/CL_0002480,Goblet (nasal),63,HGNC:534,ANXA10,5.711236476898193,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#He_Cell_2022_NEUROD1_overexpression$lung
azimuth,http://purl.obolibrary.org/obo/CL_0002062,AT1,71,HGNC:534,ANXA10,2.552608013153076,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Hein_Dev_2022_4_week_iBTO$lung
celltypist,https://purl.org/ccf/ASCTB-TEMP_microfold-cell,Microfold cell,213,HGNC:534,ANXA10,1.516154766082764,https://api.cellxgene.cziscience.com/dp/v1/collections/854c0855-23ad-4362-8b77-6b1639e7a9fc#A34%20(417C)$duodenum
celltypist,https://purl.org/ccf/ASCTB-TEMP_microfold-cell,Microfold cell,2593,HGNC:534,ANXA10,1.573354840278625,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Bein_FPhar_2021_all$duodenum
